id,area,centroid,rectangle
341,47,"(693, 271)","((689, 268), (698, 275))"
342,217,"(527, 280)","((519, 270), (536, 292))"
343,106,"(918, 277)","((912, 272), (927, 283))"
344,57,"(954, 276)","((948, 274), (961, 280))"
345,13,"(262, 279)","((260, 278), (265, 281))"
346,24,"(453, 281)","((451, 279), (457, 284))"
347,206,"(617, 286)","((608, 278), (628, 295))"
348,23,"(274, 282)","((271, 281), (279, 285))"
349,278,"(478, 288)","((468, 280), (491, 298))"
350,30,"(382, 286)","((379, 284), (387, 289))"
351,232,"(441, 291)","((431, 284), (454, 301))"
352,13,"(864, 286)","((862, 285), (867, 288))"
353,115,"(164, 292)","((159, 286), (171, 299))"
354,103,"(310, 290)","((303, 287), (319, 295))"
355,144,"(365, 290)","((356, 286), (375, 298))"
356,115,"(697, 293)","((692, 287), (704, 300))"
357,101,"(725, 292)","((719, 288), (734, 298))"
358,35,"(780, 290)","((777, 288), (785, 294))"
359,8,"(941, 289)","((940, 289), (944, 291))"
360,53,"(794, 293)","((790, 291), (799, 298))"
361,8,"(814, 290)","((813, 290), (817, 292))"
362,79,"(920, 296)","((915, 291), (928, 303))"
363,19,"(106, 294)","((104, 293), (110, 297))"
364,163,"(868, 300)","((862, 293), (878, 308))"
365,39,"(52, 299)","((49, 297), (58, 303))"
366,224,"(899, 304)","((890, 297), (909, 312))"
367,8,"(109, 299)","((108, 299), (112, 301))"
368,130,"(711, 305)","((706, 299), (719, 314))"
369,340,"(255, 314)","((247, 300), (266, 328))"
370,81,"(406, 305)","((400, 301), (412, 312))"
371,53,"(635, 306)","((632, 303), (640, 311))"
372,13,"(682, 303)","((680, 302), (685, 305))"
373,55,"(739, 307)","((734, 305), (747, 311))"
374,120,"(795, 309)","((790, 305), (803, 316))"
375,85,"(952, 309)","((947, 304), (958, 316))"
376,104,"(20, 312)","((15, 308), (27, 319))"
377,94,"(187, 313)","((182, 308), (195, 320))"
378,1025,"(224, 326)","((196, 308), (254, 350))"
379,13,"(534, 310)","((532, 309), (537, 312))"
380,436,"(599, 323)","((586, 309), (612, 336))"
381,133,"(555, 314)","((545, 310), (568, 322))"
382,281,"(826, 318)","((813, 311), (838, 327))"
383,87,"(484, 314)","((478, 312), (494, 319))"
384,285,"(519, 321)","((507, 313), (534, 331))"
385,200,"(760, 325)","((754, 314), (768, 337))"
386,214,"(920, 324)","((912, 314), (929, 333))"
387,92,"(282, 322)","((277, 317), (289, 328))"
388,44,"(724, 319)","((721, 317), (729, 324))"
389,190,"(780, 324)","((774, 316), (789, 333))"
390,27,"(69, 320)","((67, 318), (73, 324))"
391,891,"(324, 343)","((306, 319), (340, 365))"
392,190,"(651, 324)","((640, 319), (662, 331))"
393,30,"(241, 322)","((238, 320), (246, 325))"
394,64,"(305, 323)","((301, 320), (311, 328))"
395,8,"(433, 320)","((432, 320), (436, 322))"
396,13,"(666, 322)","((664, 321), (669, 324))"
397,43,"(801, 322)","((797, 320), (806, 326))"
398,100,"(40, 328)","((35, 323), (47, 335))"
399,60,"(98, 328)","((93, 325), (106, 333))"
400,14,"(414, 326)","((412, 325), (418, 328))"
401,163,"(736, 333)","((728, 327), (745, 341))"
402,284,"(808, 335)","((797, 327), (821, 344))"
403,19,"(274, 330)","((272, 329), (278, 333))"
404,18,"(345, 329)","((342, 329), (349, 332))"
405,8,"(415, 329)","((414, 329), (418, 331))"
406,48,"(692, 331)","((689, 329), (698, 336))"
407,123,"(556, 335)","((549, 331), (566, 341))"
408,13,"(69, 334)","((67, 333), (72, 336))"
409,26,"(154, 333)","((151, 332), (159, 336))"
410,26,"(392, 337)","((389, 335), (397, 341))"
411,106,"(889, 339)","((883, 334), (896, 346))"
412,27,"(945, 335)","((942, 334), (951, 338))"
413,103,"(425, 342)","((420, 337), (431, 349))"
414,83,"(60, 343)","((54, 339), (66, 349))"
415,239,"(536, 345)","((527, 338), (547, 356))"
416,135,"(912, 344)","((904, 339), (921, 351))"
417,79,"(202, 346)","((195, 342), (211, 350))"
418,13,"(378, 346)","((376, 345), (381, 348))"
419,12,"(962, 346)","((961, 345), (964, 350))"
420,56,"(84, 349)","((81, 346), (89, 355))"
421,369,"(130, 355)","((117, 347), (146, 365))"
422,8,"(460, 347)","((459, 347), (463, 349))"
423,59,"(833, 349)","((827, 347), (840, 354))"
424,24,"(880, 349)","((878, 347), (884, 352))"
425,26,"(663, 349)","((660, 348), (668, 352))"
426,96,"(296, 354)","((290, 350), (303, 361))"
427,78,"(358, 354)","((353, 350), (364, 360))"
428,96,"(715, 356)","((711, 351), (721, 363))"
429,228,"(805, 356)","((795, 350), (816, 365))"
430,80,"(847, 353)","((841, 350), (855, 358))"
431,245,"(937, 356)","((924, 350), (955, 365))"
432,839,"(588, 371)","((572, 352), (609, 392))"
433,8,"(661, 353)","((660, 353), (664, 355))"
434,311,"(20, 363)","((10, 355), (32, 373))"
435,24,"(263, 357)","((261, 355), (267, 360))"
