id,area,centroid,rectangle
263,13,"(212, 272)","((210, 271), (215, 274))"
264,21,"(99, 274)","((97, 273), (102, 278))"
265,27,"(183, 274)","((181, 273), (188, 278))"
266,50,"(648, 276)","((644, 273), (654, 280))"
267,29,"(779, 275)","((777, 273), (783, 279))"
268,58,"(205, 280)","((201, 277), (210, 286))"
269,80,"(422, 281)","((417, 277), (429, 288))"
270,42,"(491, 279)","((488, 276), (495, 284))"
271,8,"(325, 278)","((324, 278), (328, 280))"
272,32,"(920, 280)","((918, 278), (925, 284))"
273,237,"(147, 286)","((134, 281), (161, 293))"
274,36,"(340, 282)","((337, 280), (345, 285))"
275,18,"(582, 281)","((579, 281), (586, 284))"
276,14,"(676, 280)","((673, 280), (680, 282))"
277,160,"(730, 288)","((722, 282), (740, 295))"
278,38,"(806, 286)","((803, 283), (810, 290))"
279,70,"(188, 287)","((183, 284), (194, 292))"
280,143,"(386, 290)","((381, 284), (396, 299))"
281,176,"(574, 292)","((566, 286), (583, 300))"
282,26,"(927, 287)","((924, 286), (932, 290))"
283,72,"(290, 296)","((287, 291), (296, 303))"
284,47,"(415, 294)","((411, 291), (420, 298))"
285,57,"(538, 293)","((534, 290), (544, 298))"
286,8,"(517, 293)","((516, 293), (520, 295))"
287,43,"(754, 294)","((749, 293), (760, 298))"
288,10,"(2, 295)","((0, 295), (5, 297))"
289,45,"(356, 296)","((352, 294), (362, 301))"
290,19,"(619, 295)","((617, 294), (623, 298))"
291,29,"(83, 299)","((81, 297), (87, 303))"
292,8,"(675, 297)","((674, 297), (678, 299))"
293,24,"(711, 298)","((709, 296), (715, 301))"
294,13,"(925, 297)","((923, 296), (928, 299))"
295,13,"(334, 300)","((332, 299), (337, 302))"
296,252,"(841, 307)","((830, 298), (855, 318))"
297,115,"(244, 306)","((238, 301), (253, 313))"
298,376,"(470, 311)","((453, 302), (490, 320))"
299,182,"(637, 308)","((627, 302), (648, 316))"
300,13,"(22, 306)","((20, 305), (25, 308))"
301,78,"(520, 308)","((515, 305), (527, 314))"
302,57,"(90, 310)","((86, 306), (95, 315))"
303,135,"(919, 311)","((912, 306), (927, 318))"
304,88,"(217, 313)","((212, 309), (224, 319))"
305,155,"(304, 316)","((297, 311), (313, 324))"
306,19,"(709, 312)","((707, 311), (713, 315))"
307,70,"(809, 316)","((804, 312), (815, 321))"
308,96,"(867, 317)","((863, 313), (875, 325))"
309,205,"(6, 322)","((0, 314), (14, 332))"
310,44,"(142, 316)","((139, 314), (147, 321))"
311,13,"(591, 316)","((589, 315), (594, 318))"
312,48,"(906, 318)","((902, 315), (911, 322))"
313,144,"(31, 323)","((26, 316), (39, 332))"
314,166,"(49, 322)","((43, 316), (59, 331))"
315,410,"(104, 325)","((92, 316), (121, 336))"
316,210,"(792, 325)","((784, 317), (801, 335))"
317,182,"(371, 324)","((361, 318), (383, 332))"
318,66,"(554, 323)","((550, 319), (559, 329))"
319,22,"(637, 320)","((634, 319), (642, 323))"
320,110,"(831, 325)","((825, 320), (837, 333))"
321,221,"(321, 328)","((312, 322), (333, 336))"
322,23,"(893, 324)","((891, 323), (898, 327))"
323,117,"(165, 330)","((160, 324), (174, 337))"
324,61,"(345, 328)","((341, 325), (351, 334))"
325,19,"(682, 325)","((680, 324), (686, 328))"
326,364,"(282, 337)","((270, 327), (294, 349))"
327,74,"(604, 330)","((599, 327), (611, 336))"
328,124,"(657, 334)","((652, 327), (663, 344))"
329,35,"(186, 331)","((183, 329), (191, 335))"
330,39,"(247, 331)","((244, 329), (253, 335))"
331,8,"(586, 329)","((585, 329), (589, 331))"
332,51,"(906, 331)","((902, 329), (912, 336))"
333,30,"(941, 330)","((938, 328), (946, 333))"
334,32,"(514, 333)","((511, 331), (518, 337))"
335,8,"(558, 330)","((557, 330), (561, 332))"
336,41,"(418, 335)","((415, 333), (423, 340))"
337,89,"(21, 339)","((17, 334), (27, 346))"
338,38,"(803, 337)","((799, 335), (809, 340))"
339,174,"(926, 343)","((917, 336), (939, 351))"
340,104,"(635, 344)","((631, 338), (641, 352))"
341,219,"(344, 348)","((335, 341), (355, 357))"
342,136,"(868, 349)","((860, 341), (877, 358))"
343,94,"(303, 347)","((297, 343), (310, 353))"
344,13,"(375, 343)","((373, 342), (378, 345))"
345,45,"(734, 346)","((731, 343), (739, 351))"
346,27,"(57, 346)","((55, 345), (62, 350))"
347,59,"(70, 347)","((66, 344), (77, 352))"
348,48,"(236, 347)","((232, 344), (241, 352))"
349,75,"(453, 347)","((446, 345), (461, 352))"
350,27,"(795, 347)","((792, 345), (799, 350))"
351,13,"(892, 345)","((890, 344), (895, 347))"
352,53,"(173, 350)","((170, 347), (179, 356))"
353,105,"(323, 353)","((318, 347), (331, 360))"
354,707,"(811, 364)","((798, 346), (824, 386))"
355,232,"(492, 355)","((481, 350), (509, 364))"
356,57,"(848, 353)","((844, 350), (854, 358))"
357,63,"(45, 357)","((42, 353), (52, 364))"
358,49,"(222, 356)","((218, 353), (228, 360))"
359,2,"(963, 353)","((963, 353), (964, 355))"
360,329,"(551, 363)","((537, 354), (563, 376))"
361,65,"(617, 358)","((613, 355), (624, 363))"
362,150,"(710, 361)","((705, 355), (718, 370))"
363,8,"(918, 354)","((917, 354), (921, 356))"
364,239,"(855, 368)","((847, 357), (864, 380))"
365,80,"(912, 360)","((908, 356), (918, 366))"
366,2,"(963, 356)","((963, 356), (964, 358))"
367,744,"(68, 373)","((41, 359), (94, 389))"
368,2,"(963, 359)","((963, 359), (964, 361))"
369,8,"(267, 360)","((266, 360), (270, 362))"
370,30,"(842, 363)","((839, 361), (847, 366))"
371,140,"(890, 368)","((884, 362), (898, 376))"
372,34,"(961, 367)","((959, 362), (964, 373))"
373,8,"(755, 364)","((754, 364), (758, 366))"
374,19,"(777, 365)","((775, 364), (781, 368))"
375,373,"(940, 377)","((927, 364), (954, 388))"
376,8,"(416, 367)","((415, 367), (419, 369))"
377,123,"(491, 371)","((485, 366), (498, 378))"
378,8,"(530, 367)","((529, 367), (533, 369))"
379,120,"(580, 372)","((575, 367), (588, 380))"
380,62,"(3, 373)","((0, 369), (9, 378))"
381,131,"(508, 374)","((501, 368), (515, 381))"
382,18,"(594, 368)","((591, 368), (598, 371))"
383,8,"(820, 368)","((819, 368), (823, 370))"
384,210,"(249, 379)","((240, 371), (259, 388))"
385,27,"(460, 373)","((457, 371), (464, 376))"
386,66,"(308, 375)","((302, 372), (315, 380))"
387,13,"(468, 373)","((466, 372), (471, 375))"
388,339,"(688, 383)","((678, 375), (701, 395))"
389,2,"(963, 374)","((963, 374), (964, 376))"
390,489,"(372, 388)","((360, 376), (386, 401))"
391,371,"(281, 391)","((269, 381), (296, 402))"
392,8,"(785, 382)","((784, 382), (788, 384))"
393,27,"(6, 385)","((4, 384), (11, 389))"
394,110,"(91, 389)","((86, 384), (98, 396))"
395,8,"(663, 384)","((662, 384), (666, 386))"
396,249,"(721, 393)","((711, 385), (732, 404))"
397,8,"(774, 384)","((773, 384), (777, 386))"
398,37,"(483, 388)","((481, 386), (488, 393))"
399,13,"(785, 389)","((783, 388), (788, 391))"
400,44,"(960, 393)","((957, 389), (964, 398))"
401,151,"(32, 398)","((26, 391), (41, 406))"
402,46,"(174, 394)","((171, 391), (179, 400))"
403,41,"(408, 393)","((405, 390), (413, 397))"
404,925,"(429, 423)","((417, 391), (444, 455))"
405,140,"(473, 400)","((466, 393), (483, 409))"
406,43,"(673, 394)","((670, 392), (679, 398))"
407,23,"(774, 394)","((771, 393), (778, 397))"
408,28,"(904, 394)","((902, 393), (909, 398))"
409,30,"(581, 396)","((578, 394), (586, 399))"
410,285,"(752, 406)","((744, 395), (762, 418))"
411,400,"(812, 405)","((800, 395), (827, 417))"
412,18,"(5, 396)","((2, 396), (9, 399))"
413,48,"(882, 400)","((877, 397), (887, 404))"
414,18,"(77, 400)","((75, 399), (81, 403))"
415,102,"(412, 402)","((407, 398), (420, 408))"
416,8,"(301, 401)","((300, 401), (304, 403))"
417,8,"(536, 400)","((535, 400), (539, 402))"
418,80,"(99, 405)","((93, 403), (108, 410))"
419,78,"(936, 406)","((928, 403), (945, 411))"
420,13,"(681, 406)","((679, 405), (684, 408))"
421,73,"(713, 409)","((709, 405), (719, 416))"
422,8,"(59, 406)","((58, 406), (62, 408))"
423,175,"(554, 413)","((548, 407), (563, 422))"
424,8,"(869, 406)","((868, 406), (872, 408))"
425,13,"(913, 408)","((911, 407), (916, 410))"
426,26,"(792, 410)","((790, 408), (796, 414))"
427,119,"(625, 414)","((618, 410), (634, 420))"
428,55,"(690, 413)","((685, 411), (697, 418))"
429,43,"(595, 415)","((591, 412), (600, 419))"
430,55,"(157, 418)","((151, 415), (163, 423))"
431,28,"(330, 416)","((328, 415), (335, 420))"
432,109,"(93, 422)","((87, 417), (100, 429))"
433,8,"(388, 416)","((387, 416), (391, 418))"
434,56,"(671, 420)","((668, 416), (675, 427))"
435,26,"(395, 420)","((392, 419), (400, 423))"
436,107,"(940, 425)","((933, 421), (948, 431))"
437,171,"(55, 427)","((45, 422), (67, 434))"
438,23,"(286, 426)","((283, 425), (290, 429))"
439,1556,"(780, 444)","((756, 425), (806, 464))"
440,13,"(956, 425)","((954, 424), (959, 427))"
441,90,"(698, 432)","((692, 428), (705, 438))"
442,90,"(18, 433)","((13, 430), (26, 439))"
443,114,"(850, 435)","((844, 430), (857, 442))"
444,51,"(144, 436)","((141, 433), (150, 441))"
445,53,"(880, 435)","((875, 432), (886, 439))"
446,36,"(672, 436)","((669, 434), (677, 439))"
447,51,"(120, 439)","((116, 437), (126, 444))"
448,30,"(374, 438)","((371, 436), (379, 441))"
449,43,"(41, 443)","((38, 441), (47, 447))"
450,50830,"(663, 578)","((497, 441), (844, 723))"
451,349,"(868, 453)","((856, 442), (882, 467))"
452,226,"(935, 452)","((927, 443), (947, 462))"
453,40,"(467, 447)","((464, 444), (472, 451))"
454,579,"(553, 457)","((536, 444), (575, 473))"
455,370,"(823, 457)","((810, 445), (836, 468))"
456,27,"(174, 448)","((172, 447), (179, 452))"
457,35,"(265, 450)","((263, 447), (270, 454))"
458,61,"(389, 449)","((384, 446), (395, 453))"
459,227,"(625, 453)","((617, 447), (634, 462))"
460,18,"(653, 448)","((651, 447), (657, 451))"
461,8,"(451, 449)","((450, 449), (454, 451))"
462,184,"(502, 455)","((491, 450), (514, 461))"
463,61,"(585, 456)","((582, 452), (591, 462))"
464,56,"(335, 459)","((331, 455), (341, 464))"
465,22,"(902, 456)","((899, 455), (906, 459))"
466,63,"(132, 461)","((128, 457), (137, 467))"
467,8,"(293, 457)","((292, 457), (296, 459))"
468,22,"(381, 458)","((378, 457), (385, 461))"
469,13,"(442, 462)","((440, 461), (445, 464))"
470,218,"(236, 471)","((229, 462), (245, 481))"
471,26,"(439, 466)","((436, 465), (444, 469))"
472,17,"(961, 465)","((959, 464), (964, 468))"
473,8,"(589, 467)","((588, 467), (592, 469))"
474,55,"(389, 470)","((385, 468), (396, 475))"
475,18,"(503, 469)","((501, 468), (507, 472))"
476,196,"(531, 481)","((524, 471), (544, 491))"
