id,area,centroid,rectangle
161,8,"(143, 42)","((143, 41), (145, 45))"
162,4,"(152, 41)","((152, 41), (154, 43))"
163,4,"(188, 41)","((188, 41), (190, 43))"
164,4,"(200, 40)","((200, 40), (202, 42))"
165,4,"(233, 41)","((233, 41), (235, 43))"
166,4,"(236, 41)","((236, 41), (238, 43))"
167,4,"(20, 42)","((20, 42), (22, 44))"
168,4,"(68, 42)","((68, 42), (70, 44))"
169,30,"(71, 49)","((71, 42), (73, 57))"
170,16,"(74, 46)","((74, 43), (76, 51))"
171,8,"(146, 43)","((146, 42), (148, 46))"
172,8,"(176, 43)","((176, 42), (178, 46))"
173,8,"(182, 43)","((182, 42), (184, 46))"
174,14,"(206, 45)","((206, 42), (208, 49))"
175,16,"(227, 46)","((227, 43), (229, 51))"
176,6,"(8, 46)","((8, 45), (10, 48))"
177,14,"(11, 47)","((11, 44), (13, 51))"
178,8,"(23, 45)","((23, 44), (25, 48))"
179,10,"(65, 47)","((65, 45), (67, 50))"
180,10,"(68, 47)","((68, 45), (70, 50))"
181,16,"(86, 47)","((86, 44), (88, 52))"
182,4,"(152, 45)","((152, 45), (154, 47))"
183,10,"(155, 46)","((155, 44), (157, 49))"
184,4,"(158, 45)","((158, 45), (160, 47))"
185,4,"(170, 44)","((170, 44), (172, 46))"
186,28,"(179, 51)","((179, 45), (181, 59))"
187,8,"(185, 46)","((185, 45), (187, 49))"
188,14,"(200, 47)","((200, 44), (202, 51))"
189,22,"(218, 50)","((218, 45), (220, 56))"
190,10,"(224, 46)","((224, 44), (226, 49))"
191,6,"(56, 48)","((56, 47), (58, 50))"
192,4,"(77, 46)","((77, 46), (79, 48))"
193,12,"(89, 48)","((89, 46), (91, 52))"
194,6,"(104, 47)","((104, 46), (106, 49))"
195,18,"(119, 51)","((119, 47), (121, 56))"
196,16,"(122, 50)","((122, 47), (124, 55))"
197,10,"(197, 48)","((197, 46), (199, 51))"
198,6,"(20, 50)","((20, 49), (22, 52))"
199,4,"(32, 48)","((32, 48), (34, 50))"
200,4,"(35, 48)","((35, 48), (37, 50))"
201,8,"(50, 50)","((50, 49), (52, 53))"
202,4,"(59, 49)","((59, 49), (61, 51))"
203,4,"(62, 48)","((62, 48), (64, 50))"
204,44,"(95, 58)","((95, 48), (97, 70))"
205,4,"(131, 49)","((131, 49), (133, 51))"
206,12,"(146, 50)","((146, 48), (148, 54))"
207,70,"(170, 65)","((170, 48), (172, 83))"
208,16,"(173, 51)","((173, 48), (175, 56))"
209,22,"(182, 53)","((182, 48), (184, 59))"
210,16,"(191, 52)","((191, 49), (193, 57))"
211,14,"(212, 51)","((212, 48), (214, 55))"
212,14,"(215, 51)","((215, 48), (217, 55))"
213,14,"(236, 52)","((236, 49), (238, 56))"
214,4,"(14, 50)","((14, 50), (16, 52))"
215,4,"(17, 50)","((17, 50), (19, 52))"
216,4,"(92, 51)","((92, 51), (94, 53))"
217,6,"(113, 51)","((113, 50), (115, 53))"
218,6,"(140, 52)","((140, 51), (142, 54))"
219,10,"(149, 52)","((149, 50), (151, 55))"
220,12,"(155, 52)","((155, 50), (157, 56))"
221,12,"(185, 52)","((185, 50), (187, 56))"
222,12,"(188, 52)","((188, 50), (190, 56))"
223,20,"(62, 56)","((62, 52), (64, 62))"
224,8,"(68, 54)","((68, 53), (70, 57))"
225,8,"(77, 53)","((77, 52), (79, 56))"
226,4,"(98, 53)","((98, 53), (100, 55))"
227,10,"(101, 54)","((101, 52), (103, 57))"
228,8,"(104, 54)","((104, 53), (106, 57))"
229,4,"(152, 53)","((152, 53), (154, 55))"
230,12,"(176, 54)","((176, 52), (178, 58))"
231,16,"(194, 55)","((194, 52), (196, 60))"
232,14,"(200, 55)","((200, 52), (202, 59))"
233,8,"(47, 56)","((47, 55), (49, 59))"
234,22,"(74, 59)","((74, 54), (76, 65))"
235,8,"(125, 55)","((125, 54), (127, 58))"
236,8,"(128, 55)","((128, 54), (130, 58))"
237,16,"(134, 57)","((134, 54), (136, 62))"
238,30,"(137, 61)","((137, 54), (139, 69))"
239,14,"(161, 58)","((161, 55), (163, 62))"
240,38,"(164, 64)","((164, 55), (166, 74))"
241,16,"(197, 57)","((197, 54), (199, 62))"
242,24,"(206, 59)","((206, 54), (208, 66))"
243,8,"(5, 58)","((5, 57), (7, 61))"
244,10,"(38, 59)","((38, 57), (40, 62))"
245,6,"(50, 58)","((50, 57), (52, 60))"
246,6,"(53, 57)","((53, 56), (55, 59))"
247,14,"(65, 59)","((65, 56), (67, 63))"
248,4,"(80, 56)","((80, 56), (82, 58))"
249,12,"(143, 58)","((143, 56), (145, 62))"
250,8,"(203, 57)","((203, 56), (205, 60))"
251,6,"(212, 57)","((212, 56), (214, 59))"
252,8,"(215, 57)","((215, 56), (217, 60))"
253,6,"(56, 60)","((56, 59), (58, 62))"
254,6,"(59, 60)","((59, 59), (61, 62))"
255,14,"(77, 61)","((77, 58), (79, 65))"
256,6,"(86, 59)","((86, 58), (88, 61))"
257,18,"(89, 63)","((89, 59), (91, 68))"
258,18,"(92, 63)","((92, 59), (94, 68))"
259,22,"(98, 63)","((98, 58), (100, 69))"
260,14,"(101, 62)","((101, 59), (103, 66))"
261,8,"(131, 60)","((131, 59), (133, 63))"
262,8,"(146, 59)","((146, 58), (148, 62))"
263,4,"(158, 58)","((158, 58), (160, 60))"
264,8,"(68, 61)","((68, 60), (70, 64))"
265,6,"(149, 62)","((149, 61), (151, 64))"
266,8,"(152, 61)","((152, 60), (154, 64))"
267,10,"(155, 62)","((155, 60), (157, 65))"
