id,area,centroid,rectangle
296,43,"(633, 283)","((629, 281), (638, 287))"
297,92,"(452, 287)","((447, 283), (459, 293))"
298,192,"(551, 292)","((537, 283), (562, 301))"
299,8,"(951, 282)","((950, 282), (954, 284))"
300,56,"(1, 288)","((0, 284), (6, 296))"
301,13,"(108, 286)","((106, 285), (111, 288))"
302,27,"(320, 285)","((316, 284), (325, 288))"
303,142,"(603, 289)","((596, 285), (616, 297))"
304,218,"(705, 291)","((696, 284), (717, 299))"
305,1855,"(834, 310)","((814, 284), (858, 340))"
306,2,"(963, 284)","((963, 284), (964, 286))"
307,13,"(539, 287)","((537, 286), (542, 289))"
308,179,"(738, 293)","((731, 286), (748, 301))"
309,2,"(963, 287)","((963, 287), (964, 289))"
310,93,"(64, 292)","((59, 288), (71, 298))"
311,218,"(157, 297)","((150, 289), (165, 307))"
312,689,"(410, 309)","((395, 289), (427, 327))"
313,27,"(384, 292)","((382, 291), (389, 296))"
314,36,"(962, 296)","((960, 290), (964, 303))"
315,70,"(948, 295)","((943, 292), (954, 300))"
316,6,"(1, 297)","((0, 297), (3, 299))"
317,212,"(300, 303)","((292, 296), (311, 312))"
318,203,"(534, 308)","((524, 299), (545, 317))"
319,6,"(1, 300)","((0, 300), (3, 302))"
320,153,"(112, 310)","((106, 301), (119, 320))"
321,220,"(634, 309)","((626, 302), (646, 318))"
322,41,"(720, 306)","((717, 303), (725, 310))"
323,8,"(801, 303)","((800, 303), (804, 305))"
324,57,"(894, 305)","((891, 302), (900, 310))"
325,8,"(422, 304)","((421, 304), (425, 306))"
326,27,"(491, 305)","((487, 304), (496, 308))"
327,13,"(554, 305)","((552, 304), (557, 307))"
328,13,"(878, 305)","((876, 304), (881, 307))"
329,8,"(914, 304)","((913, 304), (917, 306))"
330,27,"(76, 309)","((74, 308), (81, 313))"
331,13,"(130, 309)","((128, 308), (133, 311))"
332,27,"(204, 310)","((202, 309), (209, 314))"
333,123,"(319, 315)","((314, 309), (327, 322))"
334,142,"(449, 312)","((441, 308), (458, 319))"
335,65,"(382, 313)","((377, 310), (388, 318))"
336,1081,"(896, 328)","((867, 311), (933, 347))"
337,114,"(249, 317)","((242, 313), (258, 323))"
338,388,"(358, 322)","((345, 313), (374, 334))"
339,143,"(615, 317)","((608, 312), (623, 326))"
340,8,"(680, 313)","((679, 313), (683, 315))"
341,444,"(736, 320)","((719, 312), (757, 330))"
342,8,"(771, 315)","((770, 315), (774, 317))"
343,270,"(945, 321)","((935, 314), (958, 331))"
344,40,"(226, 319)","((223, 317), (231, 323))"
345,43,"(280, 319)","((277, 317), (286, 323))"
346,206,"(659, 322)","((651, 316), (670, 331))"
347,18,"(89, 319)","((87, 318), (93, 322))"
348,43,"(126, 320)","((123, 318), (132, 324))"
349,460,"(201, 327)","((176, 319), (223, 341))"
350,19,"(716, 320)","((714, 319), (720, 323))"
351,123,"(307, 328)","((302, 321), (314, 336))"
352,103,"(394, 326)","((388, 321), (401, 332))"
353,32,"(767, 322)","((764, 321), (772, 326))"
354,139,"(605, 327)","((598, 323), (614, 334))"
355,8,"(39, 324)","((38, 324), (42, 326))"
356,90,"(236, 328)","((230, 324), (244, 335))"
357,8,"(29, 328)","((28, 328), (32, 330))"
358,8,"(287, 328)","((286, 328), (290, 330))"
359,13,"(544, 330)","((542, 329), (547, 332))"
360,13,"(140, 332)","((138, 331), (143, 334))"
361,96,"(170, 335)","((165, 330), (177, 341))"
362,111,"(505, 334)","((498, 331), (514, 340))"
363,311,"(119, 338)","((101, 332), (141, 345))"
364,53,"(275, 336)","((272, 333), (281, 341))"
365,309,"(578, 339)","((565, 332), (594, 350))"
366,55,"(46, 338)","((42, 335), (51, 343))"
367,24,"(341, 339)","((339, 337), (345, 342))"
368,83,"(534, 340)","((528, 337), (543, 345))"
369,13,"(765, 337)","((763, 336), (768, 339))"
370,128,"(786, 342)","((780, 337), (794, 350))"
371,144,"(244, 345)","((237, 338), (253, 353))"
372,310,"(686, 347)","((676, 339), (701, 358))"
373,33,"(269, 343)","((266, 341), (273, 347))"
374,706,"(622, 354)","((600, 341), (641, 369))"
375,27,"(189, 347)","((186, 345), (193, 350))"
376,36,"(736, 350)","((733, 348), (741, 354))"
377,640,"(129, 360)","((111, 350), (150, 374))"
378,220,"(198, 358)","((192, 350), (207, 368))"
